Place_Name,Latitudes,Longitudes,Area
Teppakulam_SE,9.911742095,78.14669941,0
Teppakulam_SC,9.91163364,78.14805712,0
Teppakulam_SW,9.911543051,78.14939056,0
Teppakulam_WC,9.91027103,78.1493129,0
Teppakulam_NW,9.909019638,78.14922656,0
Teppakulam_NC,9.909124319,78.14787524,0
Teppakulam_NE,9.909216922,78.14648969,0
Teppakulam_EC,9.91036791,78.14657399,17638.56063
Vandiyur_Lake_1,9.927341306,78.14918584,0
Vandiyur_Lake_2,9.9313963,78.14916441,0
Vandiyur_Lake_3,9.940963353,78.15072864,0
Vandiyur_Lake_4,9.938270801,78.16187265,0
Vandiyur_Lake_5,9.942220066,78.1628369,0
Vandiyur_Lake_6,9.942431255,78.16450828,0
Vandiyur_Lake_7,9.939706905,78.16519397,0
Vandiyur_Lake_8,9.937721704,78.16710106,0
Vandiyur_Lake_9,9.930203176,78.16605109,0
Vandiyur_Lake_10,9.928315133,78.15807979,0
Vandiyur_Lake_11,9.927511092,78.15230458,494772.2553
Eco_Park_1,9.936943193,78.14025674,0
Eco_Park_2,9.936846573,78.13739572,0
Eco_Park_3,9.935429468,78.13648019,0
Eco_Park_4,9.934624291,78.13749381,0
Eco_Park_5,9.934688705,78.13974993,0
Eco_Park_6,9.93552609,78.14015865,18057.60718
Madurai_Airport_1 ,9.843368842,78.08258465,0
Madurai_Airport_2,9.8411137,78.0908244,0
Madurai_Airport_3,9.836732264,78.0983121,0
Madurai_Airport_4,9.83705443,78.10377257,0
Maudurai_Airport_5,9.833832746,78.10445922,0
Madurai_Airport_6,9.832511849,78.09464999,0
Madurai_Airport_7,9.829483422,78.0920015,0
Madurai_Airport_8,9.83154533,78.08327129,0
Madurai_Airport_9,9.832801797,78.07463918,712553260.9
Government_Rajaji_Hospital_1,9.927192413,78.13222402,0
Government_Rajaji_Hospital_2,9.92877059,78.12895366,0
Government_Rajaji_Hospital_3,9.926355003,78.12797274,0
Government_Rajaji_Hospital_4,9.92540452,78.13130787,20878.11888
Mattuthavani_Bus_Stand_1,9.945552383,78.157194,0
Mattuthavani_Bus_Stand_2,9.94397E+15,78.15799509,0
Mattuthavani_Bus_Stand_3,9.943595859,78.15771716,0
Mattuthavani_Bus_Stand_4,9.942404226,78.15560818,0
Mattuthavani_Bus_Stand_5,9.944038693,78.15458638,0
Mattuthavani_Bus_Stand_6,9.944803589,78.15577984,0
Periyar_Bus_Stand_1,9.916262699,78.11057849,0
Periyar_Bus_Stand_2,9.916190229,78.11128148,0
Periyar_Bus_Stand_3,9.915646703,78.11128352,0
Periyar_Bus_Stand_4,9.915662807,78.11054374,1061.256375
Madurai_Railway_Junction_1,9.918441323,78.11159032,0
Madurai_Railway_Junction_2,9.918743801,78.11011893,0
Madurai_Railway_Junction_3,9.919552522,78.11044591,0
Madurai_Railway_Junction_4,9.919431739,78.11078106,0
Madurai_Railway_Junction_5,9.919178096,78.11071157,0
Madurai_Railway_Junction_6,9.918807697,78.11160667,2033.088929
TamilNadu_Polytechnic_College_1,9.909298453,78.11024666,0
TamilNadu_Polytechnic_College_2,9.907518867,78.11048371,0
TamilNadu_Polytechnic_College_3,9.907059876,78.10597965,0
TamilNadu_Polytechnic_College_4,9.908436843,78.10582433,18431.35278
